ID,Season,Team Name,Arena,Games (G),Wins (W),Losses (L),Win/Loss Percentage (W/L%),Minutes Played (MP),Pace Factor (Pace),Relative Pace,Offensive Rating (ORtg),Relative Offensive Rating,Defensive Rating (DRtg),Relative Defensive Rating,Points Per Game (Pts/G),Opponent Points Per Game (Opp Pts/G),Field Goals Made (FG),Field Goal Attempts (FGA),Field Goal Percentage (FG%),3-Point Field Goals Made (3P),3-Point Field Goal Attempts (3PA),3-Point Field Goal Percentage (3P%),2-Point Field Goals Made (2P),2-Point Field Goal Attempts (2PA),2-Point Field Goal Percentage (2P%),Effective Field Goal Percentage (eFG%),Free Throws Made (FT),Free Throw Attempts (FTA),Free Throw Percentage (FT%),FT/FGA,Offensive Rebounds (ORB),Offensive Rebound Percentage (ORB%),Defensive Rebounds (DRB),Defensive Rebound Percentage (DRB%),Total Rebounds (TRB),Total Rebounds Per Game,Total Rebound Percentage (TRB%),Assists (AST),Assist Percentage (AST%),Assists Per Game,Steals (STL),Steal Percentage (STL%),Steals Per Game,Blocks (BLK),Block Percentage (BLK%),Blocks Per Game,Turnovers (TOV),Turnover Percentage (TOV%),Turnovers Per Game,Personal Fouls (PF),Personal Fouls Per Game,Points (PTS),Points Per Game,Standing,Conference Standing,Playoff result,Conference Champion,Champion
12,2020,Detroit Pistons,Little Caesars Arena,66,20,46,0.303,15965,97.6,-2.7,109.0,-1.6,112.7,2.1,107.2,110.8,2595,5658,0.459,791,2157,0.367,1804,3501,0.515,0.529,1097,1476,0.743,0.194,644,22.6,2109,75.9,2753,41.7,,1589,,24.1,490,,7.4,299,,4.5,1008,,15.3,1299,19.7,7078,107.2,26,13,Not Qualified,0,0
13,2020,Atlanta Hawks,State Farm Arena,67,20,47,0.299,16280,103.0,2.7,107.2,-3.4,114.8,4.2,111.8,119.7,2723,6067,0.449,805,2416,0.333,1918,3651,0.525,0.515,1237,1566,0.79,0.204,661,21.6,2237,74.9,2898,43.3,,1605,,24.0,523,,7.8,341,,5.1,1086,,16.2,1548,23.1,7488,111.8,27,14,Not Qualified,0,0
14,2020,Cleveland Cavaliers,Rocket Mortgage Fieldhouse,65,19,46,0.292,15725,98.7,-1.6,107.5,-3.1,115.4,4.8,106.9,114.8,2619,5715,0.458,727,2070,0.351,1892,3645,0.519,0.522,983,1296,0.758,0.172,704,24.6,2172,77.4,2876,44.2,,1500,,23.1,447,,6.9,211,,3.2,1073,,16.5,1188,18.3,6948,106.9,29,15,Not Qualified,0,0
15,2020,Los Angeles Lakers,STAPLES Center,71,52,19,0.732,17090,100.9,0.6,112.0,1.4,106.3,-4.3,113.4,107.6,3006,6269,0.48,782,2242,0.349,2224,4027,0.552,0.542,1260,1728,0.729,0.201,757,24.5,2490,78.8,3247,45.7,,1803,,25.4,612,,8.6,468,,6.6,1077,,15.2,1471,20.7,8054,113.4,3,1,Finals,1,1
16,2020,Los Angeles Clippers,STAPLES Center,72,49,23,0.681,17380,101.5,1.2,113.9,3.3,107.6,-3.0,116.3,109.9,2992,6425,0.466,895,2410,0.371,2097,4015,0.522,0.535,1498,1894,0.791,0.233,767,23.5,2664,77.6,3431,47.7,,1708,,23.7,511,,7.1,338,,4.7,1051,,14.6,1594,22.1,8377,116.3,4,2,Western Conference Semifinals,0,0
17,2020,Denver Nuggets,Pepsi Center,73,46,27,0.63,17745,97.1,-3.2,113.1,2.5,111.0,0.4,111.3,109.2,3069,6488,0.473,801,2234,0.359,2268,4254,0.533,0.535,1185,1526,0.777,0.183,786,24.8,2436,76.8,3222,44.1,,1952,,26.7,586,,8.0,337,,4.6,1005,,13.8,1485,20.3,8124,111.3,6,3,Western Conference Finals,0,0
18,2020,Houston Rockets,Toyota Center,72,44,28,0.611,17380,103.7,3.4,112.9,2.3,110.1,-0.5,117.8,114.8,2936,6512,0.451,1126,3261,0.345,1810,3251,0.557,0.537,1484,1876,0.791,0.228,704,21.0,2484,75.6,3188,44.3,,1557,,21.6,627,,8.7,371,,5.2,1057,,14.7,1566,21.8,8482,117.8,8,4,Western Conference Semifinals,0,0
19,2020,Oklahoma City Thunder,Chesapeake Energy Arena,72,44,28,0.611,17430,98.8,-1.5,110.8,0.2,108.8,-1.8,110.4,108.4,2879,6156,0.468,770,2171,0.355,2109,3985,0.529,0.53,1422,1787,0.796,0.231,593,19.3,2495,76.8,3088,42.9,,1562,,21.7,550,,7.6,353,,4.9,986,,13.7,1390,19.3,7950,110.4,9,5,Western Conference First Round,0,0
20,2020,Utah Jazz,Vivint Smart Home Arena,72,44,28,0.611,17355,98.6,-1.7,112.3,1.7,109.9,-0.7,111.3,108.8,2886,6130,0.471,963,2537,0.38,1923,3593,0.535,0.549,1278,1641,0.779,0.208,656,21.6,2577,78.9,3233,44.9,,1615,,22.4,438,,6.1,292,,4.1,1089,,15.1,1468,20.4,8013,111.3,10,6,Western Conference First Round,0,0
21,2020,Dallas Mavericks,American Airlines Center,75,43,32,0.573,18175,99.3,-1.0,116.7,6.1,111.7,1.1,117.0,112.1,3124,6772,0.461,1136,3095,0.367,1988,3677,0.541,0.545,1392,1787,0.779,0.206,791,23.2,2729,77.7,3520,46.9,,1849,,24.7,460,,6.1,363,,4.8,953,,12.7,1462,19.5,8776,117.0,13,7,Western Conference First Round,0,0
