Season,Position,Player Name,rank_position,Score,Team Name,player_id,team_id,season,position,experience,games,games_started,minutes,fg,fga,fg_percent,three_p,three_pa,three_percent,two_p,two_pa,two_percent,efg,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,z_pts,z_ast,z_trb,z_stl,z_blk,z_efg,z_per,z_tov,raw_score
2020,C,LaMarcus Aldridge,15,70.48,San Antonio Spurs,46,13,2020,C,16,53,53,33.10,7.40,15.00,0.493,1.20,3.00,0.389,6.20,12.00,0.519,0.532,3.00,3.60,0.827,1.90,5.50,7.40,2.40,0.70,1.60,1.40,2.40,18.90,19.70,1.8883318118,0.8741821448,0.6572520533,0.6190183874,1.4461976293,-0.29772984453,0.5247074007,0.5664919521,0.89220804033
2020,C,Jarrett Allen,16,70.47,Brooklyn Nets,63,25,2020,C,9,70,64,26.50,4.30,6.60,0.649,0.00,0.10,0.000,4.30,6.60,0.658,0.649,2.40,3.90,0.633,3.10,6.50,9.60,1.60,0.60,1.30,1.10,2.30,11.10,20.70,0.5459941576,0.2377801553,1.3640814981,0.3240363538,0.9231048699,0.72530662567,0.6695512925,0.141622988,0.89147639535
2020,C,Montrezl Harrell,17,69.36,Los Angeles Clippers,1954,3,2020,C,8,63,2,27.80,7.50,12.90,0.580,0.00,0.30,0.000,7.50,12.60,0.593,0.580,3.70,5.60,0.658,2.60,4.50,7.10,1.70,0.60,1.10,1.70,2.30,18.60,23.20,1.8367034405,0.317330404,0.5608662199,0.3240363538,0.5743763637,0.12197742529,1.0316610221,0.9913609161,0.82620368044
2020,C,Richaun Holmes,18,68.45,Sacramento Kings,2144,8,2020,C,10,44,38,28.20,5.10,7.80,0.648,0.00,0.00,,5.10,7.80,0.648,0.648,2.10,2.70,0.788,2.90,5.30,8.10,1.00,0.90,1.30,1.20,3.80,12.30,19.70,0.7525076428,-0.2395213368,0.8821523312,1.2089824544,0.9231048699,0.71656272421,0.5247074007,0.283245976,0.77315431472
2020,C,Robert Covington,19,67.66,Houston Rockets,974,10,2020,C,11,22,21,33.00,4.00,10.30,0.392,2.40,7.60,0.315,1.60,2.70,0.610,0.509,1.10,1.40,0.800,1.20,6.80,8.00,1.50,1.60,2.20,1.40,3.30,11.60,13.10,0.6320414431,0.1582299066,0.85002372,3.2738566892,2.492383148,-0.49883957799,-0.4312622852,0.5664919521,0.72700792156
2020,C,Steven Adams,20,67.36,Oklahoma City Thunder,23,0,2020,C,12,63,63,26.70,4.50,7.60,0.592,0.00,0.00,0.333,4.50,7.50,0.594,0.593,1.90,3.20,0.582,3.30,6.00,9.30,2.30,0.80,1.10,1.50,1.90,10.90,20.50,0.5115752434,0.7946318961,1.2676956647,0.9140004209,0.5743763637,0.2356481442,0.6405825142,0.7081149401,0.70915445968
2020,C,DeAndre Jordan,21,66.9,Brooklyn Nets,2520,25,2020,C,18,56,6,22.00,3.40,5.10,0.666,0.00,0.00,,3.40,5.10,0.666,0.666,1.50,2.20,0.680,2.50,7.50,10.00,1.90,0.30,0.90,1.30,2.00,8.30,19.90,0.0641293586,0.4764309014,1.4925959426,-0.5609097468,0.2256478575,0.8739529504,0.5536761791,0.4248689641,0.68234940715
2020,C,Thomas Bryant,22,66.57,Washington Wizards,630,28,2020,C,9,46,36,24.90,5.30,9.10,0.581,0.80,2.00,0.407,4.50,7.10,0.630,0.626,1.90,2.50,0.741,2.10,5.10,7.20,1.80,0.50,1.10,1.20,2.20,13.20,21.10,0.9073927568,0.3968806527,0.592994831,0.0290543203,0.5743763637,0.52419689221,0.7274888493,0.283245976,0.66275748707
2020,C,Myles Turner,23,66.56,Indiana Pacers,4870,20,2020,C,11,62,62,29.50,4.30,9.50,0.457,1.40,4.00,0.344,2.90,5.40,0.540,0.530,2.00,2.70,0.751,1.40,5.20,6.60,1.20,0.70,2.10,1.40,2.70,12.10,14.80,0.7180887286,-0.0804208394,0.4002231642,0.6190183874,2.3180188949,-0.31521764744,-0.1850276691,0.5664919521,0.66214214626
2020,C,Brook Lopez,24,65.32,Milwaukee Bucks,2899,17,2020,C,18,68,67,26.70,4.30,9.90,0.435,1.50,4.80,0.314,2.80,5.10,0.549,0.511,1.90,2.20,0.836,0.90,3.70,4.60,1.50,0.70,2.40,1.00,2.40,12.00,15.00,0.7008792715,0.1582299066,-0.2423490583,0.6190183874,2.8411116542,-0.48135177508,-0.1560588907,0,0.58959105098
2020,C,Derrick Favors,25,65.29,New Orleans Pelicans,1437,6,2020,C,12,51,49,24.40,4.10,6.60,0.617,0.00,0.10,0.143,4.10,6.50,0.627,0.618,0.80,1.40,0.563,3.20,6.60,9.80,1.60,0.60,0.90,1.10,2.10,9.00,18.50,0.1845955584,0.2377801553,1.4283387204,0.3240363538,0.2256478575,0.45424568057,0.3508947306,0.141622988,0.58801113787
