ID,Season,Player Name,Team,Position,Games Played (G),Games Started (GS),Minutes Played (MP),Field Goals Made (FG),Field Goal Attempts (FGA),Field Goal Percentage (FG%),3-Point Field Goals Made (3P),3-Point Field Goal Attempts (3PA),3-Point Field Goal Percentage (3P%),2-Point Field Goals Made (2P),2-Point Field Goal Attempts (2PA),2-Point Field Goal Percentage (2P%),Effective Field Goal Percentage (eFG%),Free Throws Made (FT),Free Throw Attempts (FTA),Free Throw Percentage (FT%),Offensive Rebounds (ORB),Offensive Rebound Percentage (ORB%),Defensive Rebounds (DRB),Defensive Rebound Percentage (DRB%),Total Rebounds (TRB),Total Rebounds Per Game,Total Rebound Percentage (TRB%),Assists (AST),Assist Percentage (AST%),Steals (STL),Steal Percentage (STL%),Blocks (BLK),Block Percentage (BLK%),Personal Fouls (PF),Points (PTS),Turnovers (TOV),Turnover Percentage (TOV%),Player Efficiency Rating (PER)
18,2020,D'Angelo Russell,GSW,PG,33,33,32.1,8.3,19.2,.430,3.6,9.7,.374,4.6,9.5,.487,.524,3.4,4.4,.785,0.4,1.4,3.3,11.4,3.7,3.7,6.2,6.2,36.0,0.9,1.4,0.3,0.8,1.9,23.6,3.1,12.6,19.1
19,2020,D'Angelo Russell,MIN,PG,12,12,32.7,7.3,17.6,.412,3.2,9.2,.345,4.1,8.4,.485,.502,4.0,4.6,.873,0.3,0.8,4.3,14.5,4.6,4.6,7.4,6.6,33.1,1.4,2.0,0.3,0.8,1.8,21.7,3.8,16.4,17.6
20,2020,Joel Embiid,PHI,C,51,51,29.5,7.5,15.7,.477,1.1,3.4,.331,6.4,12.3,.517,.512,6.9,8.5,.807,2.8,10.3,8.9,33.2,11.6,11.6,21.7,3.0,16.9,0.9,1.4,1.3,3.7,3.4,23.0,3.1,13.8,25.8
21,2020,Pascal Siakam,TOR,PF,60,60,35.2,8.3,18.4,.453,2.2,6.1,.359,6.2,12.3,.499,.512,4.0,5.1,.792,1.1,3.3,6.3,18.3,7.3,7.3,11.0,3.5,16.4,1.0,1.4,0.9,2.5,2.8,22.9,2.5,10.7,17.9
22,2020,Zion Williamson,NOP,PF,24,24,27.8,8.8,15.0,.583,0.3,0.6,.429,8.5,14.4,.590,.592,4.8,7.4,.640,2.7,10.1,3.6,13.7,6.3,6.3,11.9,2.1,13.3,0.7,1.1,0.4,1.1,1.8,22.5,2.5,11.9,24.1
23,2020,CJ McCollum,POR,SG,70,70,36.5,8.7,19.4,.451,2.8,7.3,.379,6.0,12.1,.494,.522,2.0,2.6,.757,0.7,1.9,3.6,10.2,4.2,4.2,6.1,4.4,19.1,0.8,1.0,0.6,1.4,2.6,22.2,1.8,8.1,17.0
24,2020,DeMar DeRozan,SAS,SF,68,68,34.1,8.2,15.4,.531,0.1,0.5,.257,8.1,14.9,.540,.535,5.6,6.6,.845,0.6,2.0,4.9,15.4,5.5,5.5,8.7,5.6,26.1,1.0,1.4,0.3,0.8,2.6,22.1,2.4,11.6,21.6
25,2020,Andrew Wiggins,2TM,SF,54,54,34.4,8.1,18.1,.447,2.1,6.2,.332,6.0,11.9,.506,.504,3.5,5.0,.709,1.2,3.6,3.9,12.3,5.1,5.1,7.8,3.7,18.1,0.8,1.1,1.0,2.4,2.4,21.8,2.4,10.7,16.4
26,2020,Andrew Wiggins,MIN,SF,42,42,34.6,8.4,18.8,.444,2.2,6.5,.331,6.2,12.3,.505,.502,3.5,4.9,.720,1.1,3.4,4.1,12.9,5.2,5.2,7.9,3.7,18.1,0.7,0.9,0.9,2.1,2.4,22.4,2.5,10.8,16.1
27,2020,Andrew Wiggins,GSW,SF,12,12,33.6,7.2,15.7,.457,1.7,4.9,.339,5.5,10.8,.512,.511,3.4,5.1,.672,1.5,4.7,3.1,10.3,4.6,4.6,7.4,3.6,18.2,1.3,1.9,1.4,3.8,2.2,19.4,2.1,10.4,17.5
28,2020,John Collins,ATL,PF,41,41,33.2,8.6,14.8,.583,1.4,3.6,.401,7.2,11.2,.642,.632,2.9,3.7,.800,2.8,9.0,7.3,24.0,10.1,10.1,16.4,1.5,7.6,0.8,1.1,1.6,4.1,3.4,21.6,1.8,10.1,23.5
29,2020,Paul George,LAC,SF,48,48,29.6,7.1,16.3,.439,3.3,7.9,.412,3.9,8.4,.464,.539,4.0,4.5,.876,0.5,1.8,5.2,17.7,5.7,5.7,10.0,3.9,21.1,1.4,2.3,0.4,1.2,2.4,21.5,2.6,12.5,21.1
30,2020,De'Aaron Fox,SAC,PG,51,49,32.0,7.7,16.0,.480,1.1,3.6,.292,6.6,12.4,.535,.513,4.7,6.7,.705,0.7,2.4,3.2,11.4,3.8,3.8,6.8,6.8,35.3,1.5,2.2,0.5,1.5,2.8,21.1,3.1,14.1,20.6
31,2020,Khris Middleton,MIL,SF,62,59,29.9,7.6,15.3,.497,2.4,5.7,.415,5.2,9.6,.546,.575,3.4,3.7,.916,0.7,2.5,5.5,17.0,6.2,6.2,10.2,4.3,22.2,0.9,1.3,0.1,0.3,2.3,20.9,2.2,11.6,21.1
32,2020,Stephen Curry,GSW,PG,5,5,27.8,6.6,16.4,.402,2.4,9.8,.245,4.2,6.6,.636,.476,5.2,5.2,1.000,0.8,3.0,4.4,17.8,5.2,5.2,10.1,6.6,42.3,1.0,1.7,0.4,1.3,2.2,20.8,3.2,14.6,21.7
33,2020,Collin Sexton,CLE,PG,65,65,33.0,7.9,16.7,.472,1.5,3.9,.380,6.4,12.8,.501,.517,3.5,4.1,.846,0.9,3.1,2.2,7.5,3.1,3.1,5.3,3.0,15.1,1.0,1.5,0.1,0.3,2.2,20.8,2.4,11.6,16.3
