TeamName,PrevSeason,CurrSeason,Standing_Previous,Standing_Current,Improvement,Category,team_id,season,games,wins,losses,W/L%,standing,conference_standing,playoff_result,conference_champion,champion,MP,pace,relative_pace,ORtg,relative_ORtg,DRtg,relative_DRtg,Pts/G,Opp Pts/G,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,eFG%,ft,fta,ft%,ft/fga,orb,orb%,drb,drb%,trb,trb/G,ast,ast/G,stl,stl/G,blk,blk/G,tov,tov/G,fouls,fouls/G,team_id,season,games,wins,losses,W/L%,standing,conference_standing,playoff_result,conference_champion,champion,MP,pace,relative_pace,ORtg,relative_ORtg,DRtg,relative_DRtg,Pts/G,Opp Pts/G,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,eFG%,ft,fta,ft%,ft/fga,orb,orb%,drb,drb%,trb,trb/G,ast,ast/G,stl,stl/G,blk,blk/G,tov,tov/G,fouls,fouls/G
Cleveland Cavaliers,2020,2021,29,26,3,No Change,18,2021,72,22,50,0.306,26,13,Not Qualified,0,0,17430,97.3,-1.9,105.8,-6.5,114.4,2.1,104,112.3,2778,6175,0.45,720,2141,0.336,2058,4034,0.51,0.508,1200,1614,0.743,0.194,751,23.6,2327,76.6,3078,42.8,1716,23.8,559,7.8,325,4.5,1114,15.5,1308,18.2,18,2020,65,19,46,0.292,29,15,Not Qualified,0,0,15725,98.7,-1.6,107.5,-3.1,115.4,4.8,107,114.8,2619,5715,0.458,727,2070,0.351,1892,3645,0.519,0.522,983,1296,0.758,0.172,704,24.6,2172,77.4,2876,44.2,1500,23.1,447,6.9,211,3.2,1073,16.5,1188,18.3
Chicago Bulls,2020,2021,24,21,3,No Change,23,2021,72,31,41,0.431,21,11,Not Qualified,0,0,17380,99,-0.2,111.1,-1.2,112,-0.3,111,111.6,3035,6380,0.476,904,2446,0.37,2131,3934,0.542,0.547,995,1258,0.791,0.156,693,22.3,2544,80.3,3237,45,1927,26.8,482,6.7,304,4.2,1089,15.1,1362,18.9,23,2020,65,22,43,0.338,24,11,Not Qualified,0,0,15675,99.7,-0.6,106.7,-3.9,109.8,-0.8,107,109.9,2573,5762,0.447,793,2282,0.348,1780,3480,0.511,0.515,1006,1332,0.755,0.175,680,22.8,2041,75.6,2721,41.9,1510,23.2,652,10,265,4.1,1005,15.5,1417,21.8
Charlotte Hornets,2020,2021,22,19,3,No Change,27,2021,72,33,39,0.458,19,10,Not Qualified,0,0,17355,98.3,-0.9,110.9,-1.4,112.8,0.5,110,111.4,2875,6324,0.455,985,2666,0.369,1890,3658,0.517,0.532,1146,1505,0.761,0.181,762,23.5,2389,75.7,3151,43.8,1933,26.8,565,7.8,344,4.8,1069,14.8,1297,18,27,2020,65,23,42,0.354,22,9,Not Qualified,0,0,15750,95.8,-4.5,106.3,-4.3,113.3,2.7,103,109.6,2425,5586,0.434,785,2231,0.352,1640,3355,0.489,0.504,1052,1406,0.748,0.188,715,23.9,2066,74.4,2781,42.8,1549,23.8,428,6.6,268,4.1,949,14.6,1223,18.8
Minnesota Timberwolves,2020,2021,28,25,3,No Change,2,2021,72,23,49,0.319,25,13,Not Qualified,0,0,17405,101.6,2.4,109.5,-2.8,115,2.7,112,117.7,2932,6546,0.448,944,2706,0.349,1988,3840,0.518,0.52,1265,1662,0.761,0.193,757,22.7,2376,76.8,3133,43.5,1846,25.6,632,8.8,398,5.5,1027,14.3,1507,20.9,2,2020,64,19,45,0.297,28,14,Not Qualified,0,0,15560,103.4,3.1,108.1,-2.5,112.2,1.6,113,117.5,2586,5865,0.441,853,2540,0.336,1733,3325,0.521,0.514,1223,1624,0.753,0.209,675,22.1,2193,77.2,2868,44.8,1525,23.8,555,8.7,362,5.7,981,15.3,1370,21.4
Memphis Grizzlies,2020,2021,16,15,1,No Change,12,2021,72,38,34,0.528,15,9,Western Conference First Round,0,0,17405,100.4,1.2,112,-0.3,111,-1.3,113,112.3,3085,6608,0.467,803,2258,0.356,2282,4350,0.525,0.528,1184,1536,0.771,0.179,803,24.2,2543,78.3,3346,46.5,1938,26.9,655,9.1,364,5.1,957,13.3,1349,18.7,12,2020,73,34,39,0.466,16,9,Not Qualified,0,0,17570,102.8,2.5,109.2,-1.4,110.3,-0.3,113,113.7,3106,6634,0.468,798,2297,0.347,2308,4337,0.532,0.528,1212,1589,0.763,0.183,754,23,2643,77.8,3397,46.5,1965,26.9,576,7.9,398,5.5,1113,15.2,1546,21.2
Denver Nuggets,2020,2021,6,5,1,No Change,1,2021,72,47,25,0.653,5,3,Western Conference Semifinals,0,0,17480,97.1,-2.1,117.1,4.8,112.1,-0.2,115,110.1,3114,6422,0.485,927,2462,0.377,2187,3960,0.552,0.557,1129,1406,0.803,0.176,758,24.7,2442,78.9,3200,44.4,1933,26.8,582,8.1,323,4.5,972,13.5,1374,19.1,1,2020,73,46,27,0.63,6,3,Western Conference Finals,0,0,17745,97.1,-3.2,113.1,2.5,111,0.4,111,109.2,3069,6488,0.473,801,2234,0.359,2268,4254,0.533,0.535,1185,1526,0.777,0.183,786,24.8,2436,76.8,3222,44.1,1952,26.7,586,8,337,4.6,1005,13.8,1485,20.3
New Orleans Pelicans,2020,2021,21,22,-1,No Change,6,2021,72,31,41,0.431,22,11,Not Qualified,0,0,17430,100.1,0.9,113.5,1.2,113.8,1.5,115,114.9,3060,6412,0.477,762,2190,0.348,2298,4222,0.544,0.537,1369,1878,0.729,0.214,845,26.3,2568,80,3413,47.4,1872,26,545,7.6,315,4.4,1052,14.6,1295,18,6,2020,72,30,42,0.417,21,13,Not Qualified,0,0,17430,103.7,3.4,110.7,0.1,111.9,1.3,116,117.1,3065,6598,0.465,982,2656,0.37,2083,3942,0.528,0.539,1229,1687,0.729,0.186,797,24.2,2551,77.8,3348,46.5,1932,26.8,539,7.5,358,5,1181,16.4,1524,21.2
San Antonio Spurs,2020,2021,19,20,-1,No Change,13,2021,72,33,39,0.458,20,10,Not Qualified,0,0,17480,98.9,-0.3,111,-1.3,112.8,0.5,111,112.8,3014,6518,0.462,716,2046,0.35,2298,4472,0.514,0.517,1254,1584,0.792,0.192,669,20,2489,77.3,3158,43.9,1759,24.4,505,7,366,5.1,821,11.4,1293,18,13,2020,71,32,39,0.451,19,11,Not Qualified,0,0,17215,100.5,0.2,112.4,1.8,113.5,2.9,114,115.2,2995,6350,0.472,760,2021,0.376,2235,4329,0.516,0.531,1348,1664,0.81,0.212,640,20.1,2530,79.2,3170,44.6,1751,24.7,518,7.3,390,5.5,895,12.6,1377,19.4
Miami Heat,2020,2021,11,13,-2,No Change,22,2021,72,40,32,0.556,13,6,Eastern Conference First Round,0,0,17380,96.6,-2.6,111.2,-1.1,111.2,-1.1,108,108,2824,6029,0.468,932,2606,0.358,1892,3423,0.553,0.546,1201,1520,0.79,0.199,579,19.4,2409,77.9,2988,41.5,1895,26.3,569,7.9,286,4,1013,14.1,1363,18.9,22,2020,73,44,29,0.603,11,5,Finals,1,0,17745,98.3,-2,112.5,1.9,109.5,-1.1,112,109.1,2880,6160,0.468,979,2584,0.379,1901,3576,0.532,0.547,1440,1840,0.783,0.234,620,20.3,2619,79.5,3239,44.4,1892,25.9,547,7.5,332,4.5,1088,14.9,1501,20.6
Los Angeles Clippers,2020,2021,4,6,-2,No Change,3,2021,72,47,25,0.653,6,4,Western Conference Finals,0,0,17280,96.9,-2.3,117.6,5.3,111.2,-1.1,114,107.8,3009,6242,0.482,1027,2498,0.411,1982,3744,0.529,0.564,1164,1387,0.839,0.186,678,22.7,2501,79.1,3179,44.2,1756,24.4,509,7.1,295,4.1,950,13.2,1383,19.2,3,2020,72,49,23,0.681,4,2,Western Conference Semifinals,0,0,17380,101.5,1.2,113.9,3.3,107.6,-3,116,109.9,2992,6425,0.466,895,2410,0.371,2097,4015,0.522,0.535,1498,1894,0.791,0.233,767,23.5,2664,77.6,3431,47.7,1708,23.7,511,7.1,338,4.7,1051,14.6,1594,22.1
Sacramento Kings,2020,2021,20,23,-3,No Change,8,2021,72,31,41,0.431,23,12,Not Qualified,0,0,17305,100,0.8,113.6,1.3,117.2,4.9,114,117.4,3067,6382,0.481,874,2400,0.364,2193,3982,0.551,0.549,1181,1585,0.745,0.185,674,21.3,2307,75,2981,41.4,1836,25.5,543,7.5,358,5,963,13.4,1400,19.4,8,2020,72,31,41,0.431,20,12,Not Qualified,0,0,17455,98.9,-1.4,110.2,-0.4,112.2,1.6,110,112.1,2943,6364,0.462,914,2511,0.364,2029,3853,0.527,0.534,1127,1464,0.77,0.177,695,21.9,2372,78.4,3067,42.6,1713,23.8,556,7.7,293,4.1,1043,14.5,1595,22.2
Detroit Pistons,2020,2021,26,29,-3,No Change,29,2021,72,20,52,0.278,29,15,Not Qualified,0,0,17430,97.9,-1.3,108,-4.3,112.5,0.2,107,111.1,2783,6162,0.452,832,2370,0.351,1951,3792,0.515,0.519,1278,1683,0.759,0.207,694,21.9,2381,76.9,3075,42.7,1743,24.2,531,7.4,371,5.2,1075,14.9,1477,20.5,29,2020,66,20,46,0.303,26,13,Not Qualified,0,0,15965,97.6,-2.7,109,-1.6,112.7,2.1,107,110.8,2595,5658,0.459,791,2157,0.367,1804,3501,0.515,0.529,1097,1476,0.743,0.194,644,22.6,2109,75.9,2753,41.7,1589,24.1,490,7.4,299,4.5,1008,15.3,1299,19.7
Milwaukee Bucks,2020,2021,1,7,-6,Regression,17,2021,72,46,26,0.639,7,3,Finals,1,1,17330,102.2,3,117.2,4.9,111.4,-0.9,120,114.2,3221,6610,0.487,1038,2669,0.389,2183,3941,0.554,0.566,1169,1539,0.76,0.177,741,23.3,2724,79.7,3465,48.1,1834,25.5,585,8.1,334,4.6,995,13.8,1244,17.3,17,2020,73,56,17,0.767,1,1,Eastern Conference Semifinals,0,0,17595,105.1,4.8,112.4,1.8,102.9,-7.7,119,108.6,3160,6638,0.476,1007,2840,0.355,2153,3798,0.567,0.552,1336,1800,0.742,0.201,691,20.7,3083,81.6,3774,51.7,1889,25.9,526,7.2,429,5.9,1102,15.1,1431,19.6
Los Angeles Lakers,2020,2021,3,10,-7,Regression,7,2021,72,42,30,0.583,10,7,Western Conference First Round,0,0,17455,98.7,-0.5,109.9,-2.4,107.1,-5.2,110,106.8,2925,6197,0.472,796,2248,0.354,2129,3949,0.539,0.536,1241,1679,0.739,0.2,695,22.5,2490,79.7,3185,44.2,1775,24.7,562,7.8,386,5.4,1095,15.2,1377,19.1,7,2020,71,52,19,0.732,3,1,Finals,1,1,17090,100.9,0.6,112,1.4,106.3,-4.3,113,107.6,3006,6269,0.48,782,2242,0.349,2224,4027,0.552,0.542,1260,1728,0.729,0.201,757,24.5,2490,78.8,3247,45.7,1803,25.4,612,8.6,468,6.6,1077,15.2,1471,20.7
Orlando Magic,2020,2021,18,28,-10,Regression,19,2021,72,21,51,0.292,28,14,Not Qualified,0,0,17330,98.7,-0.5,105.1,-7.2,114.5,2.2,104,113.3,2754,6423,0.429,784,2288,0.343,1970,4135,0.476,0.49,1196,1543,0.775,0.186,747,21.6,2525,78.2,3272,45.4,1571,21.8,496,6.9,318,4.4,924,12.8,1237,17.2,19,2020,73,33,40,0.452,18,8,Eastern Conference First Round,0,0,17570,98.6,-1.7,108.5,-2.1,109.5,-1.1,107,108.3,2871,6468,0.444,807,2354,0.343,2064,4114,0.502,0.506,1282,1656,0.774,0.198,751,22.3,2498,79.1,3249,44.5,1747,23.9,599,8.2,396,5.4,937,12.8,1336,18.3
Boston Celtics,2020,2021,5,16,-11,Regression,15,2021,72,36,36,0.5,16,7,Eastern Conference First Round,0,0,17380,98.3,-0.9,114,1.7,112.5,0.2,113,111.2,2985,6401,0.466,979,2618,0.374,2006,3783,0.53,0.543,1160,1496,0.775,0.181,765,24.3,2421,78.1,3186,44.3,1689,23.5,556,7.7,383,5.3,1012,14.1,1471,20.4,15,2020,72,48,24,0.667,5,3,Eastern Conference Finals,0,0,17430,99.5,-0.8,113.3,2.7,107,-3.6,114,107.3,2971,6448,0.461,905,2487,0.364,2066,3961,0.522,0.531,1336,1668,0.801,0.207,768,23.9,2549,77.4,3317,46.1,1655,23,595,8.3,406,5.6,995,13.8,1553,21.6
Indiana Pacers,2020,2021,7,18,-11,Regression,20,2021,72,34,38,0.472,18,9,Not Qualified,0,0,17455,101.6,2.4,112.4,0.1,112.4,0.1,115,115.3,3115,6567,0.474,889,2445,0.364,2226,4122,0.54,0.542,1183,1493,0.792,0.18,648,20.2,2424,74.9,3072,42.7,1973,27.4,611,8.5,460,6.4,975,13.5,1453,20.2,20,2020,73,45,28,0.616,7,4,Eastern Conference First Round,0,0,17620,98.9,-1.4,110,-0.6,108,-2.6,109,107.5,3075,6457,0.476,743,2046,0.363,2332,4411,0.529,0.534,1096,1393,0.787,0.17,636,20,2489,76.7,3125,42.8,1888,25.9,543,7.4,376,5.2,967,13.2,1445,19.8
Oklahoma City Thunder,2020,2021,9,27,-18,Regression,0,2021,72,22,50,0.306,27,14,Not Qualified,0,0,17355,101,1.8,103.5,-8.8,114,1.7,105,115.6,2795,6338,0.441,857,2529,0.339,1938,3809,0.509,0.509,1113,1536,0.725,0.176,715,21.2,2568,77.9,3283,45.6,1588,22.1,504,7,316,4.4,1162,16.1,1305,18.1,0,2020,72,44,28,0.611,9,5,Western Conference First Round,0,0,17430,98.8,-1.5,110.8,0.2,108.8,-1.8,110,108.4,2879,6156,0.468,770,2171,0.355,2109,3985,0.529,0.53,1422,1787,0.796,0.231,593,19.3,2495,76.8,3088,42.9,1562,21.7,550,7.6,353,4.9,986,13.7,1390,19.3
Toronto Raptors,2020,2021,2,24,-22,Regression,26,2021,72,27,45,0.375,24,12,Not Qualified,0,0,17305,99.2,0,112,-0.3,112.5,0.2,111,111.7,2859,6383,0.448,1041,2831,0.368,1818,3552,0.512,0.529,1252,1536,0.815,0.196,680,20.8,2314,76.3,2994,41.6,1735,24.1,618,8.6,388,5.4,952,13.2,1526,21.2,26,2020,72,53,19,0.736,2,2,Eastern Conference Semifinals,0,0,17380,100.9,0.6,111.1,0.5,105,-5.6,113,106.5,2897,6331,0.458,995,2663,0.374,1902,3668,0.519,0.536,1329,1670,0.796,0.21,685,21.3,2583,76.7,3268,45.4,1816,25.2,636,8.8,358,5,1067,14.8,1559,21.7
Houston Rockets,2020,2021,8,30,-22,Regression,10,2021,72,17,55,0.236,30,15,Not Qualified,0,0,17305,101.4,2.2,107.1,-5.2,114.9,2.6,109,116.7,2826,6372,0.444,992,2923,0.339,1834,3449,0.532,0.521,1189,1606,0.74,0.187,671,19.8,2396,77.1,3067,42.6,1699,23.6,546,7.6,361,5,1060,14.7,1407,19.5,10,2020,72,44,28,0.611,8,4,Western Conference Semifinals,0,0,17380,103.7,3.4,112.9,2.3,110.1,-0.5,118,114.8,2936,6512,0.451,1126,3261,0.345,1810,3251,0.557,0.537,1484,1876,0.791,0.228,704,21,2484,75.6,3188,44.3,1557,21.6,627,8.7,371,5.2,1057,14.7,1566,21.8
Toronto Raptors,2021,2022,24,10,14,High Progress,26,2022,82,48,34,0.585,10,5,Eastern Conference First Round,0,0,19855,96,-2.2,112.9,0.9,110.5,-1.5,109,107.1,3332,7489,0.445,979,2808,0.349,2353,4681,0.503,0.51,1327,1749,0.759,0.177,1095,28.4,2622,75.6,3717,45.3,1809,22.1,738,9,376,4.6,1021,12.5,1607,19.6,26,2021,72,27,45,0.375,24,12,Not Qualified,0,0,17305,99.2,0,112,-0.3,112.5,0.2,111,111.7,2859,6383,0.448,1041,2831,0.368,1818,3552,0.512,0.529,1252,1536,0.815,0.196,680,20.8,2314,76.3,2994,41.6,1735,24.1,618,8.6,388,5.4,952,13.2,1526,21.2
Memphis Grizzlies,2021,2022,15,2,13,High Progress,12,2022,82,56,26,0.683,2,2,Western Conference Semifinals,0,0,19780,100.3,2.1,114.6,2.6,109,-3,116,109.9,3571,7739,0.461,945,2679,0.353,2626,5060,0.519,0.522,1393,1898,0.734,0.18,1159,30,2873,77.8,4032,49.2,2131,26,800,9.8,533,6.5,1082,13.2,1620,19.8,12,2021,72,38,34,0.528,15,9,Western Conference First Round,0,0,17405,100.4,1.2,112,-0.3,111,-1.3,113,112.3,3085,6608,0.467,803,2258,0.356,2282,4350,0.525,0.528,1184,1536,0.771,0.179,803,24.2,2543,78.3,3346,46.5,1938,26.9,655,9.1,364,5.1,957,13.3,1349,18.7
Minnesota Timberwolves,2021,2022,25,13,12,High Progress,2,2022,82,46,36,0.561,13,7,Western Conference First Round,0,0,19780,100.9,2.7,114.3,2.3,111.7,-0.3,116,113.3,3411,7458,0.457,1211,3386,0.358,2200,4072,0.54,0.539,1474,1894,0.778,0.198,921,24.4,2700,74.9,3621,44.2,2106,25.7,721,8.8,460,5.6,1175,14.3,1786,21.8,2,2021,72,23,49,0.319,25,13,Not Qualified,0,0,17405,101.6,2.4,109.5,-2.8,115,2.7,112,117.7,2932,6546,0.448,944,2706,0.349,1988,3840,0.518,0.52,1265,1662,0.761,0.193,757,22.7,2376,76.8,3133,43.5,1846,25.6,632,8.8,398,5.5,1027,14.3,1507,20.9
Cleveland Cavaliers,2021,2022,26,15,11,High Progress,18,2022,82,44,38,0.537,15,8,Not Qualified,0,0,19730,96.1,-2.1,111.9,-0.1,109.7,-2.3,108,105.7,3255,6940,0.469,953,2686,0.355,2302,4254,0.541,0.538,1376,1810,0.76,0.198,837,24,2786,76.5,3623,44.2,2064,25.2,580,7.1,343,4.2,1181,14.4,1433,17.5,18,2021,72,22,50,0.306,26,13,Not Qualified,0,0,17430,97.3,-1.9,105.8,-6.5,114.4,2.1,104,112.3,2778,6175,0.45,720,2141,0.336,2058,4034,0.51,0.508,1200,1614,0.743,0.194,751,23.6,2327,76.6,3078,42.8,1716,23.8,559,7.8,325,4.5,1114,15.5,1308,18.2
Boston Celtics,2021,2022,16,6,10,High Progress,15,2022,82,51,31,0.622,6,2,Finals,1,0,19905,96.6,-1.6,114.4,2.4,106.9,-5.1,112,104.5,3341,7167,0.466,1085,3044,0.356,2256,4123,0.547,0.542,1397,1713,0.816,0.195,863,24,2915,77.3,3778,46.1,2036,24.8,591,7.2,478,5.8,1118,13.6,1521,18.5,15,2021,72,36,36,0.5,16,7,Eastern Conference First Round,0,0,17380,98.3,-0.9,114,1.7,112.5,0.2,113,111.2,2985,6401,0.466,979,2618,0.374,2006,3783,0.53,0.543,1160,1496,0.775,0.181,765,24.3,2421,78.1,3186,44.3,1689,23.5,556,7.7,383,5.3,1012,14.1,1471,20.4
Miami Heat,2021,2022,13,3,10,High Progress,22,2022,82,53,29,0.646,3,1,Eastern Conference Finals,0,0,19855,95.9,-2.3,113.7,1.7,109.1,-2.9,110,105.6,3246,6954,0.467,1114,2936,0.379,2132,4018,0.531,0.547,1416,1753,0.808,0.204,807,23.5,2778,78,3585,43.7,2090,25.5,606,7.4,265,3.2,1194,14.6,1679,20.5,22,2021,72,40,32,0.556,13,6,Eastern Conference First Round,0,0,17380,96.6,-2.6,111.2,-1.1,111.2,-1.1,108,108,2824,6029,0.468,932,2606,0.358,1892,3423,0.553,0.546,1201,1520,0.79,0.199,579,19.4,2409,77.9,2988,41.5,1895,26.3,569,7.9,286,4,1013,14.1,1363,18.9
Golden State Warriors,2021,2022,14,4,10,High Progress,9,2022,82,53,29,0.646,4,3,Finals,1,1,19730,98.4,0.2,112.5,0.5,106.9,-5.1,111,105.5,3323,7087,0.469,1176,3231,0.364,2147,3856,0.557,0.552,1280,1665,0.769,0.181,800,22.8,2930,78.7,3730,45.5,2223,27.1,719,8.8,372,4.5,1221,14.9,1723,21,9,2021,72,39,33,0.542,14,8,Not Qualified,0,0,17305,102.2,3,111.1,-1.2,110.1,-2.2,114,112.7,2973,6347,0.468,1048,2789,0.376,1925,3558,0.541,0.551,1193,1520,0.785,0.188,574,17.9,2524,76.6,3098,43,1991,27.7,587,8.2,342,4.8,1080,15,1526,21.2
