Season,Position,Player Name,rank_position,Score,Team Name,player_id,team_id,season,position,experience,games,games_started,minutes,fg,fga,fg_percent,three_p,three_pa,three_percent,two_p,two_pa,two_percent,efg,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,z_pts,z_ast,z_trb,z_stl,z_blk,z_efg,z_per,z_tov,raw_score
2020,C,LaMarcus Aldridge,15,67.31,San Antonio Spurs,46,13,2020,C,16,53,53,33.10,7.40,15.00,0.493,1.20,3.00,0.389,6.20,12.00,0.519,0.532,3.00,3.60,0.827,1.90,5.50,7.40,2.40,0.70,1.60,1.40,2.40,18.90,19.70,2.1131001038,1.1940739493,0.6759884921,0.5463331641,1.385771702,-0.30576599091,0.6246090654,0.5701341658,0.94309937544
2020,C,Jarrett Allen,16,67.29,Brooklyn Nets,63,25,2020,C,9,70,64,26.50,4.30,6.60,0.649,0.00,0.10,0.000,4.30,6.60,0.658,0.649,2.40,3.90,0.633,3.10,6.50,9.60,1.60,0.60,1.30,1.10,2.30,11.10,20.70,0.6295020616,0.3996135705,1.3836277588,0.266449371,0.8717614268,0.83051702792,0.8065199069,0.1256428723,0.94241746755
2020,C,Montrezl Harrell,17,66.72,Los Angeles Clippers,1954,3,2020,C,8,63,2,27.80,7.50,12.90,0.580,0.00,0.30,0.000,7.50,12.60,0.593,0.580,3.70,5.60,0.658,2.60,4.50,7.10,1.70,0.60,1.10,1.70,2.30,18.60,23.20,2.0560386406,0.4989211179,0.5794922285,0.266449371,0.52908791,0.16040140143,1.2612970107,1.0146254593,0.91186987327
2020,C,Richaun Holmes,18,64.98,Sacramento Kings,2144,8,2020,C,10,44,38,28.20,5.10,7.80,0.648,0.00,0.00,,5.10,7.80,0.648,0.648,2.10,2.70,0.788,2.90,5.30,8.10,1.00,0.90,1.30,1.20,3.80,12.30,19.70,0.8577479142,-0.1962317136,0.9011464406,1.1061007503,0.8717614268,0.82080520724,0.6246090654,0.2738066368,0.82031475511
2020,C,Steven Adams,19,63.68,Oklahoma City Thunder,23,0,2020,C,12,63,63,26.70,4.50,7.60,0.592,0.00,0.00,0.333,4.50,7.50,0.594,0.593,1.90,3.20,0.582,3.30,6.00,9.30,2.30,0.80,1.10,1.50,1.90,10.90,20.50,0.5914610862,1.0947664019,1.2871314951,0.8262169572,0.52908791,0.28665507019,0.7701377386,0.7182979303,0.75167578199
2020,C,DeAndre Jordan,20,63.14,Brooklyn Nets,2520,25,2020,C,18,56,6,22.00,3.40,5.10,0.666,0.00,0.00,,3.40,5.10,0.666,0.666,1.50,2.20,0.680,2.50,7.50,10.00,1.90,0.30,0.90,1.30,2.00,8.30,19.90,0.0969284054,0.6975362125,1.5122894436,-0.5732020082,0.1864143931,0.99561797937,0.6609912337,0.4219704013,0.72323829866
2020,C,Thomas Bryant,21,63.11,Washington Wizards,630,28,2020,C,9,46,36,24.90,5.30,9.10,0.581,0.80,2.00,0.407,4.50,7.10,0.630,0.626,1.90,2.50,0.741,2.10,5.10,7.20,1.80,0.50,1.10,1.20,2.20,13.20,21.10,1.0289323037,0.5982286652,0.6116576497,-0.0134344221,0.52908791,0.60714515242,0.8792842435,0.2738066368,0.72149531384
2020,C,Robert Covington,22,62.66,Houston Rockets,974,10,2020,C,11,22,21,33.00,4.00,10.30,0.392,2.40,7.60,0.315,1.60,2.70,0.610,0.509,1.10,1.40,0.800,1.20,6.80,8.00,1.50,1.60,2.20,1.40,3.30,11.60,13.10,0.7246045002,0.3003060232,0.8689810194,3.0652873019,2.4137922524,-0.52913786641,-0.5760024886,0.5701341658,0.69811837161
2020,C,Myles Turner,23,61.77,Indiana Pacers,4870,20,2020,C,11,62,62,29.50,4.30,9.50,0.457,1.40,4.00,0.344,2.90,5.40,0.540,0.530,2.00,2.70,0.751,1.40,5.20,6.60,1.20,0.70,2.10,1.40,2.70,12.10,14.80,0.8197069388,0.0023833811,0.4186651225,0.5463331641,2.242455494,-0.32518963226,-0.266754058,0.5701341658,0.6508630294
2020,C,Derrick Favors,24,61.07,New Orleans Pelicans,1437,6,2020,C,12,51,49,24.40,4.10,6.60,0.617,0.00,0.10,0.143,4.10,6.50,0.627,0.618,0.80,1.40,0.563,3.20,6.60,9.80,1.60,0.60,0.90,1.10,2.10,9.00,18.50,0.2300718195,0.3996135705,1.4479586012,0.266449371,0.1864143931,0.52945058703,0.4063160556,0.1256428723,0.61427962361
